"TE_family"	"Sequence_Ontology"	"SO_category_short"
"1"	"Unknown"	"repeat_region"	"higher_order"
"5"	"polinton"	"polinton"	"TIR_DNA_transposons"
"16"	"Tc1_Mariner"	"Tc1_Mariner_TIR_transposon"	"TIR_DNA_transposons"
"19"	"unknown"	"LINE_element"	"nonLTR_retrotransposons"
"168"	"unknown"	"LTR_retrotransposon"	"LTR_retrotransposons"
"209"	"DTA"	"hAT_TIR_transposon"	"TIR_DNA_transposons"
"226"	"DIRS"	"DIRS_YR_retrotransposon"	"nonLTR_retrotransposons"
"262"	"Penelope"	"Penelope_retrotransposon"	"nonLTR_retrotransposons"
"627"	"PiggyBac"	"piggyBac_TIR_transposon"	"TIR_DNA_transposons"
"1379"	"DTH"	"PIF_Harbinger_TIR_transposon"	"TIR_DNA_transposons"
"1483"	"Sola2"	"Sola_TIR_transposon"	"SO_term_generic"
"1506"	"Helitron"	"helitron"	"nonTIR_DNA_transposons"
"1507"	"DTM"	"Mutator_TIR_transposon"	"TIR_DNA_transposons"
"1508"	"DTC"	"CACTA_TIR_transposon"	"TIR_DNA_transposons"
"1571"	"Gypsy"	"Gypsy_LTR_retrotransposon"	"LTR_retrotransposons"
"1661"	"DTT"	"Tc1_Mariner_TIR_transposon"	"TIR_DNA_transposons"
"7145"	"Copia"	"Copia_LTR_retrotransposon"	"LTR_retrotransposons"
"15577"	"pararetrovirus"	"pararetrovirus"	"SO_term_generic"
"73567"	"Merlin"	"Merlin_TIR_transposon"	"TIR_DNA_transposons"
