Tree_tip_label	Genera	Species	Repeat_Class	Repeat_Class_SO_long	Repeat_Family	TE_Count	Masked_lenght_	TE_abundance_genome_pct	Avg_TE_length_bp
Ameiurus_melas	Ameiurus	melas	LTR	LTR_retrotransposons	Gypsy	35283	16022493	1.8454	454.1136808
Ameiurus_melas	Ameiurus	melas	LTR	LTR_retrotransposons	LTR unknown	230255	71120342	8.1913	308.8764283
Ameiurus_melas	Ameiurus	melas	nonLTR	nonLTR_retrotransposons	DIRS YR	834	259851	0.0299	311.5719424
Ameiurus_melas	Ameiurus	melas	nonLTR	nonLTR_retrotransposons	LINE element	7861	3414004	0.3932	434.2963999
Ameiurus_melas	Ameiurus	melas	nonLTR	nonLTR_retrotransposons	Penelope	155	188175	0.0217	1214.032258
Ameiurus_melas	Ameiurus	melas	nonTIR	nonTIR_DNA_transposons	helitron	119029	34250806	3.9448	287.7517748
Ameiurus_melas	Ameiurus	melas	nonTIR	nonTIR_DNA_transposons	polinton	1266	1401770	0.1614	1107.243286
Ameiurus_melas	Ameiurus	melas	TIR	TIR_DNA_transposons	CACTA	303373	85947772	9.8990	283.3072554
Ameiurus_melas	Ameiurus	melas	TIR	TIR_DNA_transposons	hAT	66955	21598107	2.4876	322.5764618
Ameiurus_melas	Ameiurus	melas	TIR	TIR_DNA_transposons	Mutator	145026	41699351	4.8027	287.5301739
Ameiurus_melas	Ameiurus	melas	TIR	TIR_DNA_transposons	PIF Harbinger	14903	3600698	0.4147	241.6089378
Ameiurus_melas	Ameiurus	melas	TIR	TIR_DNA_transposons	Tc1 Mariner	18031	6088195	0.7012	337.6515446
Ameiurus_melas	Ameiurus	melas	unclassified	SO_term_generic	repeat region	119529	32165504	3.7046	269.1020924
Channallabes_apus	Channallabes	apus	LTR	LTR_retrotransposons	Copia	117	141248	0.0121	1207.247863
Channallabes_apus	Channallabes	apus	LTR	LTR_retrotransposons	Gypsy	195404	132615547	11.3853	678.6736556
Channallabes_apus	Channallabes	apus	LTR	LTR_retrotransposons	LTR unknown	274690	115894613	9.9498	421.9105646
Channallabes_apus	Channallabes	apus	nonLTR	nonLTR_retrotransposons	DIRS YR	475	103987	0.0089	218.92
