Gar_LG	species	ortholog_chrom	anchors	pct_of_LG	secondary_chrom(anchors)
C_gar_LG01	A_melas	5	42	98%	-
C_gar_LG01	C_apus	5	41	95%	-
C_gar_LG01	C_bouderius	34	20	47%	29(16)
C_gar_LG01	C_fuscus	2	42	98%	-
C_gar_LG01	C_gariepinus	1	43	100%	-
C_gar_LG01	H_wyckioides	4	42	98%	-
C_gar_LG01	I_furcatus	5	42	98%	-
C_gar_LG01	I_punctatus	6	42	98%	-
C_gar_LG01	N_graeffei	1	42	98%	-
C_gar_LG01	P_hypophthalmus	4	42	98%	-
C_gar_LG01	P_lineatus	18	34	79%	19(5)
C_gar_LG01	S_aristotelis	5	42	98%	-
C_gar_LG01	S_meridionalis	4	41	95%	-
C_gar_LG01	T_fulvidraco	1	42	98%	-
C_gar_LG01	T_rosablanca	4	41	95%	-
C_gar_LG01	T_vachellii	7	42	98%	-
C_gar_LG01	fClaHyb_Gar	C_gar_LG01	43	100%	-
C_gar_LG01	fClaHyb_Mac	C_mac_LG02	41	95%	-
C_gar_LG02	A_melas	13	41	72%	2(16)
C_gar_LG02	C_apus	4	57	100%	-
C_gar_LG02	C_bouderius	11	29	51%	26(15)
C_gar_LG02	C_fuscus	1	57	100%	-
C_gar_LG02	C_gariepinus	2	57	100%	-
C_gar_LG02	H_wyckioides	13	41	72%	1(16)
C_gar_LG02	I_furcatus	11	41	72%	1(16)
C_gar_LG02	I_punctatus	13	41	72%	1(16)
C_gar_LG02	N_graeffei	2	57	100%	-
C_gar_LG02	P_hypophthalmus	8	41	72%	30(16)
C_gar_LG02	P_lineatus	15	41	72%	4(15)
C_gar_LG02	S_aristotelis	7	41	72%	29(15)
C_gar_LG02	S_meridionalis	10	41	72%	12(16)
C_gar_LG02	T_fulvidraco	14	41	72%	8(16)
C_gar_LG02	T_rosablanca	1	41	72%	9(16)
C_gar_LG02	T_vachellii	14	41	72%	12(16)
C_gar_LG02	fClaHyb_Gar	C_gar_LG02	57	100%	-
C_gar_LG02	fClaHyb_Mac	C_mac_LG08	56	98%	-
C_gar_LG03	A_melas	23	38	78%	1(7)
C_gar_LG03	C_apus	24	39	80%	3(6)
C_gar_LG03	C_bouderius	17	39	80%	21(10)
C_gar_LG03	C_fuscus	12	39	80%	25(10)
C_gar_LG03	C_gariepinus	3	49	100%	-
C_gar_LG03	H_wyckioides	24	39	80%	26(10)
C_gar_LG03	I_furcatus	26	39	80%	28(10)
C_gar_LG03	I_punctatus	21	39	80%	28(10)
C_gar_LG03	N_graeffei	16	39	80%	27(10)
C_gar_LG03	P_hypophthalmus	24	39	80%	26(10)
C_gar_LG03	P_lineatus	1	39	80%	21(10)
C_gar_LG03	S_aristotelis	21	39	80%	9(10)
C_gar_LG03	S_meridionalis	20	39	80%	23(10)
C_gar_LG03	T_fulvidraco	23	39	80%	1(10)
C_gar_LG03	T_rosablanca	2	39	80%	27(9)
C_gar_LG03	T_vachellii	21	39	80%	23(10)
C_gar_LG03	fClaHyb_Gar	C_gar_LG03	49	100%	-
C_gar_LG03	fClaHyb_Mac	C_mac_LG06	39	80%	C_mac_LG14(10)
C_gar_LG04	A_melas	6	39	100%	-
C_gar_LG04	C_apus	1	22	56%	8(17)
C_gar_LG04	C_bouderius	10	20	51%	30(11)
C_gar_LG04	C_fuscus	4	39	100%	-
C_gar_LG04	C_gariepinus	4	39	100%	-
C_gar_LG04	H_wyckioides	2	39	100%	-
C_gar_LG04	I_furcatus	2	39	100%	-
C_gar_LG04	I_punctatus	2	39	100%	-
C_gar_LG04	N_graeffei	5	39	100%	-
C_gar_LG04	P_hypophthalmus	1	39	100%	-
C_gar_LG04	P_lineatus	1	39	100%	-
C_gar_LG04	S_aristotelis	1	39	100%	-
C_gar_LG04	S_meridionalis	1	39	100%	-
C_gar_LG04	T_fulvidraco	4	39	100%	-
C_gar_LG04	T_rosablanca	3	39	100%	-
C_gar_LG04	T_vachellii	5	39	100%	-
C_gar_LG04	fClaHyb_Gar	C_gar_LG04	39	100%	-
C_gar_LG04	fClaHyb_Mac	C_mac_LG25	39	100%	-
C_gar_LG05	A_melas	7	37	100%	-
C_gar_LG05	C_apus	6	37	100%	-
C_gar_LG05	C_bouderius	1	26	70%	35(11)
C_gar_LG05	C_fuscus	6	37	100%	-
C_gar_LG05	C_gariepinus	5	37	100%	-
C_gar_LG05	H_wyckioides	1	37	100%	-
C_gar_LG05	I_furcatus	6	37	100%	-
