"Accession"	"Common_name"	"Genera"	"species"	"Genome_len"	"SampleID"	"plot_title"	"plot_facet"
"1"	"GCA_022655615.1"	"yellow catfish"	"Tachysurus"	"fulvidraco"	712033440	"GCA_022655615.1_Tachysurus_fulvidraco_short.fa"	"Tachysurus fulvidraco yellow catfish"	"Tachysurus fulvidraco"
"2"	"GCA_030014385.1"	"-"	"Trichomycterus"	"rosablanca"	1045025885	"GCA_030014385.1_Trichomycterus_rosablanca_short.fa"	"Trichomycterus rosablanca -"	"Trichomycterus rosablanca"
"3"	"GCA_014805685.1"	"-"	"Silurus"	"meridionalis"	742579920	"GCA_014805685.1_Silurus_meridionalis_short.fa"	"Silurus meridionalis -"	"Silurus meridionalis"
"4"	"GCA_946808225.1"	"Aristotle's catfish"	"Silurus"	"aristotelis"	800118513	"GCA_946808225.1_Silurus_aristotelis_short.fa"	"Silurus aristotelis Aristotle's catfish"	"Silurus aristotelis"
"5"	"GCA_030347435.1"	"whitespotted clarias"	"Clarias"	"fuscus"	944286092	"GCA_030347435.1_Clarias_fuscus_short.fa"	"Clarias fuscus whitespotted clarias"	"Clarias fuscus"
"6"	"GCA_012411365.1"	"black bullhead"	"Ameiurus"	"melas"	868496679	"GCA_012411365.1_Ameiurus_melas_short.fa"	"Ameiurus melas black bullhead"	"Ameiurus melas"
"7"	"GCA_001660625.3"	"channel catfish"	"Ictalurus"	"punctatus"	842926452	"GCA_001660625.3_Ictalurus_punctatus_short.fa"	"Ictalurus punctatus channel catfish"	"Ictalurus punctatus"
"8"	"GCA_030522415.1"	"-"	"Channallabes"	"apus"	1164854870	"GCA_030522415.1_Channallabes_apus_short.fa"	"Channallabes apus -"	"Channallabes apus"
"9"	"GCA_030014155.1"	"-"	"Tachysurus"	"vachellii"	692104899	"GCA_030014155.1_Tachysurus_vachellii_short.fa"	"Tachysurus vachellii -"	"Tachysurus vachellii"
"10"	"GCA_019097595.1"	"-"	"Hemibagrus"	"wyckioides"	789799567	"GCA_019097595.1_Hemibagrus_wyckioides_short.fa"	"Hemibagrus wyckioides -"	"Hemibagrus wyckioides"
"11"	"GCA_023630585.1"	"-"	"Cranoglanis"	"bouderius"	881346651	"GCA_023630585.1_Cranoglanis_bouderius_short.fa"	"Cranoglanis bouderius -"	"Cranoglanis bouderius"
"12"	"GCA_027358585.1"	"striped catfish"	"Pangasianodon"	"hypophthalmus"	764990969	"GCA_027358585.1_Pangasianodon_hypophthalmus_short.fa"	"Pangasianodon hypophthalmus striped catfish"	"Pangasianodon hypophthalmus"
"13"	"GCA_024256425.2"	"North African catfish"	"Clarias"	"gariepinus"	969604269	"GCA_024256425.2_Clarias_gariepinus_short.fa"	"Clarias gariepinus North African catfish"	"Clarias gariepinus"
"14"	"GCA_023375685.2"	"blue catfish"	"Ictalurus"	"furcatus"	825459183	"GCA_023375685.2_Ictalurus_furcatus_short.fa"	"Ictalurus furcatus blue catfish"	"Ictalurus furcatus"
"15"	"GCA_027579695.1"	"lesser salmon catfish"	"Neoarius"	"graeffei"	2341916362	"GCA_027579695.1_Neoarius_graeffei_short.fa"	"Neoarius graeffei lesser salmon catfish"	"Neoarius graeffei"
"16"	"GCA_024760905.1"	"striped eel catfish"	"Plotosus"	"lineatus"	1333861300	"GCA_024760905.1_Plotosus_lineatus_short.fa"	"Plotosus lineatus striped eel catfish"	"Plotosus lineatus"
"17"	"This study"	"Broadhead catfish"	"Clarias"	"macrocephalus"	821673140	"Clarias_macrocephalus_short.fa"	"Clarias macrocephalus Broadhead catfish"	"Clarias macrocephalus"
