scaffold	haplotype	kmer_errors	length_bp	qv	error_rate	band
LG01	fClaHyb_Gar	780	41250300	46.10	2.4544e-05	Q40+
LG02	fClaHyb_Gar	810	38900410	45.92	2.5571e-05	Q40+
LG03	fClaHyb_Gar	745	37120840	46.21	2.3924e-05	Q40+
LG04	fClaHyb_Gar	821	36410120	45.70	2.6912e-05	Q40+
LG05	fClaHyb_Gar	770	35990870	46.05	2.4828e-05	Q40+
LG06	fClaHyb_Gar	795	35124550	45.85	2.6020e-05	Q40+
LG07	fClaHyb_Gar	721	34810230	46.18	2.4090e-05	Q40+
LG08	fClaHyb_Gar	895	33450980	45.40	2.8830e-05	Q40+
LG09	fClaHyb_Gar	810	32890470	45.70	2.6912e-05	Q40+
LG10	fClaHyb_Gar	742	32011200	46.02	2.5004e-05	Q40+
LG11	fClaHyb_Gar	812	30890610	45.65	2.7224e-05	Q40+
LG12	fClaHyb_Gar	709	30100450	46.11	2.4488e-05	Q40+
LG13	fClaHyb_Gar	741	29240800	45.88	2.5824e-05	Q40+
LG14	fClaHyb_Gar	733	28980340	45.95	2.5410e-05	Q40+
LG15	fClaHyb_Gar	775	28100170	45.74	2.6663e-05	Q40+
LG16	fClaHyb_Gar	745	27450980	45.81	2.6238e-05	Q40+
LG17	fClaHyb_Gar	845	26900430	45.40	2.8830e-05	Q40+
LG18	fClaHyb_Gar	699	26010210	45.92	2.5571e-05	Q40+
LG19	fClaHyb_Gar	709	25340890	45.78	2.6419e-05	Q40+
LG20	fClaHyb_Gar	670	24890150	45.90	2.5708e-05	Q40+
LG21	fClaHyb_Gar	749	24010620	45.55	2.7848e-05	Q40+
LG22	fClaHyb_Gar	659	23100450	45.81	2.6238e-05	Q40+
LG23	fClaHyb_Gar	654	22340820	45.74	2.6663e-05	Q40+
LG24	fClaHyb_Gar	689	21420190	45.40	2.8830e-05	Q40+
LG25	fClaHyb_Gar	632	20180460	45.62	2.7414e-05	Q40+
LG26	fClaHyb_Gar	582	19010370	45.70	2.6912e-05	Q40+
LG27	fClaHyb_Gar	640	17890250	45.10	3.0904e-05	Q40+
LG28	fClaHyb_Gar	575	19700300	45.96	2.5350e-05	Q40+
unplaced_001	fClaHyb_Gar	178	1240500	44.86	3.2659e-05	Q40+
unplaced_002	fClaHyb_Gar	141	980200	44.92	3.2210e-05	Q40+
unplaced_003	fClaHyb_Gar	98	428000	44.39	3.6379e-05	Q40+
LG01	fClaHyb_Mac	812	42010120	45.91	2.5642e-05	Q40+
LG02	fClaHyb_Mac	795	39800450	45.99	2.5176e-05	Q40+
LG03	fClaHyb_Mac	738	37410220	46.30	2.3438e-05	Q40+
LG04	fClaHyb_Mac	810	36720180	45.86	2.5949e-05	Q40+
LG05	fClaHyb_Mac	789	36100840	45.94	2.5468e-05	Q40+
LG06	fClaHyb_Mac	821	35450090	45.71	2.6850e-05	Q40+
LG07	fClaHyb_Mac	742	34900120	46.15	2.4265e-05	Q40+
LG08	fClaHyb_Mac	882	33780210	45.42	2.8698e-05	Q40+
LG09	fClaHyb_Mac	770	32990840	45.92	2.5571e-05	Q40+
LG10	fClaHyb_Mac	721	32100110	46.06	2.4770e-05	Q40+
LG11	fClaHyb_Mac	798	31010810	45.69	2.6975e-05	Q40+
LG12	fClaHyb_Mac	705	30210340	46.10	2.4544e-05	Q40+
LG13	fClaHyb_Mac	749	29340120	45.78	2.6419e-05	Q40+
LG14	fClaHyb_Mac	721	28980910	45.96	2.5350e-05	Q40+
LG15	fClaHyb_Mac	770	28200470	45.69	2.6975e-05	Q40+
LG16	fClaHyb_Mac	733	27510280	45.86	2.5949e-05	Q40+
LG17	fClaHyb_Mac	831	26980910	45.42	2.8698e-05	Q40+
LG18	fClaHyb_Mac	709	26110830	45.86	2.5949e-05	Q40+
LG19	fClaHyb_Mac	721	25410630	45.71	2.6850e-05	Q40+
LG20	fClaHyb_Mac	670	24910450	45.92	2.5571e-05	Q40+
LG21	fClaHyb_Mac	748	24020910	45.60	2.7544e-05	Q40+
LG22	fClaHyb_Mac	654	23200490	45.85	2.6020e-05	Q40+
LG23	fClaHyb_Mac	650	22400220	45.78	2.6419e-05	Q40+
LG24	fClaHyb_Mac	682	21500110	45.40	2.8830e-05	Q40+
LG25	fClaHyb_Mac	620	20240650	45.65	2.7224e-05	Q40+
LG26	fClaHyb_Mac	575	19120240	45.74	2.6663e-05	Q40+
LG27	fClaHyb_Mac	632	17990360	45.14	3.0623e-05	Q40+
unplaced_001	fClaHyb_Mac	201	1310890	44.69	3.3960e-05	Q40+
unplaced_002	fClaHyb_Mac	118	891450	45.07	3.1118e-05	Q40+
unplaced_003	fClaHyb_Mac	87	402370	44.46	3.5808e-05	Q40+
