Chr	start_CE	end_CE	length_CE	TRlength	TRcoverage	TElength	TEcoverage	regionscore
1	30589999	31037443	447445	445422	99.55%	0	0.0%	0.995480998739507
2	25872637	26075048	202412	89990	44.46%	48014	23.72%	0.468311504809521
3	44845686	45075101	229416	80719	35.18%	86461	37.69%	0.389534686049299
4	43494510	43622614	128105	35126	27.42%	31388	24.5%	0.298701055392494
5	13886753	14005582	118830	117914	99.23%	0	0.0%	0.992299859461916
6	40938277	41128954	190678	49618	26.02%	63213	33.15%	0.293372037529435
7	22422760	22804934	382175	46364	12.13%	212568	55.62%	0.176937206612695
8	27102953	27650996	548044	77680	14.17%	526287	96.03%	0.237770941331246
9	9110758	9653978	543221	414655	76.33%	13567	2.5%	0.76582544825301
10	35058958	35173121	114164	22074	19.34%	62056	54.36%	0.247712481276771
11	34184381	34442896	258516	14710	5.69%	54779	21.19%	0.078091793512949
12	118704	245604	126901	13292	10.47%	21767	17.15%	0.121896769109535
13	16411915	17376430	964516	617471	64.02%	14937	1.55%	0.641736727785467
14	2376629	2482770	106142	979	0.92%	62092	58.5%	0.0677231230156113
15	9499614	9876483	376870	245567	65.16%	43642	11.58%	0.663177921240537
16	9918985	10041221	122237	95952	78.5%	6097	4.99%	0.789961222553094
17	10469443	10592982	123540	1155	0.93%	72295	58.52%	0.0678692558625211
18	21590976	21953400	362425	93328	25.75%	149432	41.23%	0.298741805178465
19	17499674	17828797	329124	62774	19.07%	172848	52.52%	0.243248876559827
20	13335119	14124313	789195	461552	58.48%	701460	88.88%	0.673722810867797
21	25370708	25481068	110361	41070	37.21%	5185	4.7%	0.376843965204784
22	18366125	18481140	115016	2115	1.84%	60282	52.41%	0.0708011998434987
23	800486	1675296	874811	145069	16.58%	409157	46.77%	0.212600107451904
24	12561918	12993227	431310	372815	86.44%	104251	24.17%	0.888551131555335
25	842561	1054110	211550	17425	8.24%	31648	14.96%	0.0973287512585737
26	12076689	12488378	411690	338876	82.31%	322101	78.24%	0.901374824199821
27	1	753504	753504	315174	41.83%	148600	19.72%	0.437999583279695
28	1328237	1459705	131469	6935	5.28%	5418	4.12%	0.0568716341619253
29	1152053	1639878	487826	160401	32.88%	12214	2.5%	0.331312253369549
